video_id,title,published_at,view_count,like_count,comment_count,duration,hours,minutes,seconds,podcast,total_seconds,duration_minutes,is_short_strict
LGmPXIggYwM,Batsman’s Biggest Weapon?,2025-03-09T06:04:42Z,659773,27159,87,PT1M11S,0,1,11,No,71,1.1833333333333331,False
udFCIl1ULLA,Sachin made 100 Crores!,2025-03-09T06:03:24Z,683532,24322,60,PT1M5S,0,1,5,No,65,1.0833333333333333,False
gyZRSHn5_D8,India will win Champion Trophy 2025!,2025-03-09T04:01:01Z,18257,740,6,PT1M4S,0,1,4,No,64,1.0666666666666669,False
9hi6gH52QgU,"How BCCI became a Monopoly, Virat Kohli, Rohit and Dhoni’s secret of leadership?  ft. Gaurav Kapur",2025-03-08T15:36:07Z,668284,11488,439,PT1H43M15S,1,43,15,No,6195,103.25,False
Y0aTX36WFlg,The Prince of Kolkata : Sourav Ganguly #sauravganguly #championsleague #indiancricket,2025-03-08T15:17:51Z,175796,6279,38,PT1M14S,0,1,14,No,74,1.2333333333333334,False
gkaFPZobCWg,Yuvraj Singh’s 6 Sixes in an Over! #YuvrajSingh #SixSixes #t20worldcup #championsleague,2025-03-08T15:17:48Z,13840,629,5,PT1M15S,0,1,15,No,75,1.25,False
VQvfqR8vjW0,Indian Cricket Legends #championsleague #championstrophy2025,2025-03-08T15:11:10Z,9471,496,5,PT1M50S,0,1,50,No,110,1.8333333333333333,False
4_5Smu0YAxw,Can Amul solve India's PROTEIN CRISIS? : Business case study,2025-02-27T15:28:16Z,401346,14146,719,PT27M22S,0,27,22,No,1642,27.366666666666667,False
-vx1ork0O-c,The Secret Behind Success,2025-02-27T11:49:25Z,137569,8587,26,PT1M3S,0,1,3,No,63,1.05,False
-DBx9Ss1C-g,"What Indian Army, Mukesh Ambani,Adani and Mahindra can teach you about leadership? Capt Raghu Raman",2025-02-26T13:15:08Z,384897,9132,350,PT2H35M25S,2,35,25,No,9325,155.41666666666666,False
O8vUKmIOFjE,Why great leaders read?,2025-02-21T17:22:37Z,447225,22608,45,PT1M21S,0,1,21,No,81,1.35,False
_YiudnB46Rc,Quickest way to get success,2025-02-21T17:21:08Z,46703,3029,22,PT2M4S,0,2,4,No,124,2.066666666666667,False
WlZVe0bu_c4,Mukesh Ambani’s Leadership Secret!,2025-02-21T17:20:11Z,1225219,57754,289,PT1M57S,0,1,57,No,117,1.95,False
gSJi13cdUmY,MBA don’t teach leadership?,2025-02-21T17:19:47Z,80274,3294,28,PT1M20S,0,1,20,No,80,1.3333333333333333,False
SqM1uODJ_wg,Dark Truth about Money!,2025-02-21T17:16:53Z,359036,14989,47,PT1M27S,0,1,27,No,87,1.45,False
B-QzDmZOuik,Indian Army Motivation 🔥,2025-02-19T08:54:52Z,24081,1242,25,PT1M59S,0,1,59,No,119,1.9833333333333336,False
_UWFws8Glqg,Trump’s WAR on China: Can India Turn the US-China Trade War to become a SUPERPOWER?,2025-02-13T13:00:07Z,1032154,24287,1849,PT23M31S,0,23,31,No,1411,23.516666666666666,False
a-a5kuLYtTo,"Will Reliance and Shein destroy ZARA, H&M and ZUDIO? | Business case Study",2025-02-06T12:30:07Z,918852,18343,873,PT20M35S,0,20,35,No,1235,20.583333333333332,False
qBOFexfWS4k,MODI’s MASTERSTROKE Budget 2025 Analysed in Simple words: Budget 2025 case study,2025-02-02T09:10:07Z,1133537,34492,1499,PT24M38S,0,24,38,No,1478,24.633333333333333,False
G7Jyzj1FpnU,What's the REAL Truth Behind AAP's Delhi Development Claims?,2025-01-30T15:15:07Z,340055,13064,3705,PT28M54S,0,28,54,No,1734,28.9,False
DyNO8gsuJIg,Tanker Mafia in Delhi?,2025-01-30T13:53:46Z,35019,1118,29,PT1M26S,0,1,26,No,86,1.4333333333333331,False
8NiMjjXSE78,Delhi Hospital Scam?,2025-01-30T13:51:57Z,55442,1615,43,PT1M15S,0,1,15,No,75,1.25,False
